ID,Name,SMILES,Solubility
mol-001ii,Acetazolamide,CC(=O)Nc1nnc(S(N)(=O)=O)s1,-2.38
mol-002ii,Acetylsalicylic_Acid,CC(=O)Oc1ccccc1C(=O)O,-1.67
mol-003ii,Alclofenac,C=CCOc1ccc(CC(=O)O)cc1Cl,-4.4
mol-004ii,Ambroxol,Nc1c(Br)cc(Br)cc1CN[C@H]1CC[C@H](O)CC1,-3.87
mol-005ii,Aripiprazole,O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,-6.64
mol-006ii,Atovaquone,O=C1C(O)=C(C2CCC(c3ccc(Cl)cc3)CC2)C(=O)c2ccccc21,-6.07
mol-007ii,Atrazine,CCNc1nc(Cl)nc(NC(C)C)n1,-3.69
mol-008ii,Baclofen,NCC(CC(=O)O)c1ccc(Cl)cc1,-1.78
mol-009ii,"Barbital,Buta-",CCC(C)C1(CC)C(=O)NC(=O)NC1=O,-2.22
mol-010ii,Benzthiazide,NS(=O)(=O)c1cc2c(cc1Cl)NC(CSCc1ccccc1)=NS2(=O)=O,-4.84
mol-011ii,Bromazepam,O=C1CN=C(c2ccccn2)c2cc(Br)ccc2N1,-3.39
mol-012ii,Candesartan_cilexetil,CCOc1nc2cccc(C(=O)OC(C)OC(=O)OC3CCCCC3)c2n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,-6.79
mol-013ii,Carbamazepine,NC(=O)N1c2ccccc2C=Cc2ccccc21,-3.22
mol-014ii,Carbazole,c1ccc2c(c1)[nH]c1ccccc12,-5.19
mol-015ii,Carbendazim,COC(=O)Nc1nc2ccccc2[nH]1,-4.56
mol-016ii,Cefmenoxime,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CS[C@H]12)c1csc(N)n1,-3.27
mol-017ii,Cefprozil,C/C=C/C1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccc(O)cc3)[C@H]2SC1,-1.68
mol-018ii,Celecoxib,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,-5.89
mol-019ii,Cephradine,CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)C3=CCC=CC3)[C@H]2SC1,-1.18
mol-020ii,Chlorpropamide,CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1,-3.17
mol-021ii,"Cholic_Acid,Deoxy-",C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@@]21C,-4.62
mol-022ii,Cilostazol,O=C1CCc2cc(OCCCCc3nnnn3C3CCCCC3)ccc2N1,-4.93
mol-023ii,Cimetidine,CN=C(NC#N)NCCSCc1nc[nH]c1C,-1.52
mol-024ii,Ciprofloxacin,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,-3.57
mol-025ii,Cisapride,COc1cc(N)c(Cl)cc1C(=O)NC1CCN(CCCOc2ccc(F)cc2)CC1OC,-6.78
mol-026ii,Corticosterone,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2C(=O)CO,-3.29
mol-027ii,Cortisone_Acetate,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3C(=O)C[C@@]21C,-4.22
mol-028ii,Cyclosporine_A,CC=CCC(C)C(O)C1C(=O)NC(CC)C(=O)N(C)CC(=O)N(C)C(CC(C)C)C(=O)NC(C(C)C)C(=O)N(C)C(CC(C)C)C(=O)NC(C)C(=O)NC(C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(C(C)C)C(=O)N1C,-5.03
mol-029ii,Daidzein,O=c1c(-c2ccc(O)cc2)coc2cc(O)ccc12,-5.23
mol-030ii,Desipramine,CNCCCN1c2ccccc2CCc2ccccc21,-3.83
mol-031ii,Dexamethasone,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,-3.56
mol-032ii,Diazoxide,CC1=NS(=O)(=O)c2cc(Cl)ccc2N1,-3.43
mol-033ii,Diclofenac,O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,-5.34
mol-034ii,Diflorasone_Diacetate,CC(=O)OCC(=O)[C@@]1(OC(C)=O)[C@@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,-4.82
mol-035ii,Difloxacin,CN1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3-c2ccc(F)cc2)CC1,-3.83
mol-036ii,Diltiazem,COc1ccc([C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(C)=O)cc1,-3.02
mol-037ii,Diphenylamine,c1ccc(Nc2ccccc2)cc1,-3.53
mol-038ii,"DOPA,L-",N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,-1.76
mol-039ii,Enalapril,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CCC[C@H]1C(=O)O,-1.36
mol-040ii,"Estradiol,17?-",C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@H]2O,-5.0
mol-041ii,Estrone,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CCC2=O,-5.38
mol-042ii,Ethoxzolamide,CCOc1ccc2nc(S(N)(=O)=O)sc2c1,-3.76
mol-043ii,Etoposide,COc1cc([C@@H]2c3cc4c(cc3[C@@H](O[C@@H]3O[C@@H]5CO[C@@H](C)O[C@H]5[C@H](O)[C@H]3O)C3COC(=O)[C@@H]32)OCO4)cc(OC)c1O,-3.6
mol-044ii,Eucalyptol,CC12CCC(CC1)C(C)(C)O2,-1.66
mol-045ii,Fenbufen,O=C(O)CCC(=O)c1ccc(-c2ccccc2)cc1,-5.18
mol-046ii,Flumequine,CC1CCc2cc(F)cc3c(=O)c(C(=O)O)cn1c23,-3.9
mol-047ii,Flurbiprofen,CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,-4.34
mol-048ii,Folic_Acid,Nc1nc(=O)c2nc(CNc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)cnc2[nH]1,-5.96
mol-049ii,Ganciclovir,Nc1nc(=O)c2ncn(COC(CO)CO)c2[nH]1,-1.78
mol-050ii,Glipizide,Cc1cnc(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)NC3CCCCC3)cc2)cn1,-5.61
mol-051ii,Griseofulvin,COC1=CC(=O)C[C@@H](C)[C@]12Oc1c(Cl)c(OC)cc(OC)c1C2=O,-4.52
mol-052ii,Haloperidol,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,-5.71
mol-053ii,Ibrutinib,C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,-4.85
mol-054ii,Indinavir,CC(C)(C)NC(=O)[C@@H]1CN(Cc2cccnc2)CCN1C[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O,-4.53
mol-055ii,Indomethacin,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,-5.48
mol-056ii,Indoprofen,CC(C(=O)O)c1ccc(N2Cc3ccccc3C2=O)cc1,-4.65
mol-057ii,Ketoconazole,CC(=O)N1CCN(c2ccc(OC[C@H]3CO[C@](Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,-5.47
mol-058ii,Maprotiline,CNCCCC12CCC(c3ccccc31)c1ccccc12,-4.62
mol-059ii,Metolazone,Cc1ccccc1N1C(=O)c2cc(S(N)(=O)=O)c(Cl)cc2NC1C,-3.88
mol-060ii,Nabumetone,COc1ccc2cc(CCC(C)=O)ccc2c1,-4.4
mol-061ii,Naproxen,COc1ccc2cc(C(C)C(=O)O)ccc2c1,-4.23
mol-062ii,Nelfinavir,Cc1c(O)cccc1C(=O)N[C@@H](CSc1ccccc1)[C@H](O)CN1C[C@H]2CCCC[C@H]2C[C@H]1C(=O)NC(C)(C)C,-6.21
mol-063ii,Nevirapine,Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1,-3.41
mol-064ii,Nifedipine,COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-],-4.71
mol-065ii,Nimesulide,CS(=O)(=O)Nc1ccc([N+](=O)[O-])cc1Oc1ccccc1,-4.74
mol-066ii,Norfloxacin,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21,-2.88
mol-067ii,Nortriptyline,CNCCC=C1c2ccccc2CCc2ccccc21,-3.93
mol-068ii,Noscapine,COc1ccc2c(c1OC)C(=O)O[C@@H]2[C@H]1c2c(cc3c(c2OC)OCO3)CCN1C,-4.48
mol-069ii,Ofloxacin,CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,-2.03
mol-070ii,Oxazepam,O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O,-4.03
mol-071ii,Oxyphenbutazone,CCCCC1C(=O)N(c2ccccc2)N(c2ccc(O)cc2)C1=O,-3.94
mol-072ii,Papaverine,COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC,-4.33
mol-073ii,Perphenazine,OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,-4.48
mol-074ii,Phenacetin,CCOc1ccc(NC(C)=O)cc1,-2.3
mol-075ii,Phenazopyridine,Nc1ccc(N=Nc2ccccc2)c(N)n1,-4.02
mol-076ii,Pindolol,CC(C)NCC(O)COc1cccc2[nH]ccc12,-3.75
mol-077ii,Pravastatin,CCC(C)C(=O)OC1CC(O)C=C2C=CC(C)C(CCC(O)CC(O)CC(=O)O)C21,-4.86
mol-078ii,"Prednisolone,Methyl-",CC1CC2C(C(O)CC3(C)C2CCC3(O)C(=O)CO)C2(C)C=CC(=O)C=C12,-3.33
mol-079ii,Primidone,CCC1(c2ccccc2)C(=O)NCNC1=O,-2.53
mol-080ii,Probenecid,CCCN(CCC)S(=O)(=O)c1ccc(C(=O)O)cc1,-4.83
mol-081ii,Promazine,CN(C)CCCN1c2ccccc2Sc2ccccc21,-4.45
mol-082ii,Promethazine,CC(CN1c2ccccc2Sc2ccccc21)N(C)C,-4.38
mol-083ii,Repaglinide,CCOc1cc(CC(=O)N[C@@H](CC(C)C)c2ccccc2N2CCCCC2)ccc1C(=O)O,-4.77
mol-084ii,"Resveratrol,trans-",Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1,-3.75
mol-085ii,Ritonavir,CC(C)c1nc(CN(C)C(=O)N[C@H](C(=O)N[C@@H](Cc2ccccc2)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1,-5.17
mol-086ii,Rofecoxib,CS(=O)(=O)c1ccc(C2=C(c3ccccc3)C(=O)OC2)cc1,-4.61
mol-087ii,Spironolactone,CC(=O)S[C@@H]1CC2=CC(=O)CC[C@]2(C)[C@H]2CC[C@@]3(C)[C@@H](CC[C@@]34CCC(=O)O4)[C@@H]21,-4.21
mol-088ii,Strychnine,O=C1C[C@@H]2OCC=C3CN4CC[C@]56c7ccccc7N1[C@H]5[C@H]2[C@H]3C[C@H]46,-3.38
mol-089ii,Sulfasalazine,O=C(O)C1=C/C(=N\Nc2ccc(S(=O)(=O)Nc3ccccn3)cc2)C=CC1=O,-6.41
mol-090ii,Sulfathiazole,Nc1ccc(S(=O)(=O)Nc2nccs2)cc1,-2.62
mol-091ii,Sulfisomidine,Cc1cc(NS(=O)(=O)c2ccc(N)cc2)nc(C)n1,-2.16
mol-092ii,Sulfisoxazole,Cc1noc(NS(=O)(=O)c2ccc(N)cc2)c1C,-3.13
mol-093ii,Sulindac,CC1=C(CC(=O)O)c2cc(F)ccc2/C1=C\c1ccc(S(C)=O)cc1,-4.96
mol-094ii,Tetracaine,CCCCNc1ccc(C(=O)OCCN(C)C)cc1,-3.11
mol-095ii,Tetracycline,CN(C)[C@@H]1C(=O)/C(=C(\N)O)C(=O)[C@@]2(O)C(=O)C3=C(O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@@H]12,-3.22
mol-096ii,Thiacetazone,CC(=O)Nc1ccc(/C=N/NC(N)=S)cc1,-3.5
mol-097ii,Triamcinolone,C[C@]12C[C@H](O)[C@@]3(F)[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]1C[C@@H](O)[C@]2(O)C(=O)CO,-3.52
mol-098ii,Triamterene,Nc1nc(N)c2nc(-c3ccccc3)c(N)nc2n1,-4.11
mol-099ii,Warfarin,CC(=O)CC(c1ccccc1)c1c(O)oc2ccccc2c1=O,-4.78
mol-100ii,Xanthine,O=c1[nH]c(=O)c2[nH]cnc2[nH]1,-3.6
